column1,column2,column3,column4,column5,column6
194891,27007.01,5671.48,0.0,13018.02,19660.47
054763,27006.82,9872.57,0.0,10568.57,26310.82
064611,26994.28,2969.37,0.0,10063.33,19900.32
073423,26994.28,0.0,0.0,7811.33,19182.95
068241,26987.29,0.0,0.0,8894.92,18092.37
042471,26976.51,2967.42,0.0,10003.99,19939.94
049409,26976.51,0.0,0.0,7805.03,19171.48
037371,26973.77,0.0,0.0,8291.4,18682.37
075035,26969.91,2644.56,0.0,9672.76,19941.71
046698,26965.11,0.0,0.0,1940.14,25024.97
038296,26962.78,0.0,0.0,1939.88,25022.9
035998,26939.7,0.0,0.0,8330.76,18608.94
036366,26891.07,0.0,0.0,7774.72,19116.35
042196,26864.72,0.0,0.0,7765.37,19099.35
306151,26836.39,0.0,0.0,8803.99,18032.4
082503,26827.0,5381.14,2295.77,8727.02,21185.35
058599,26797.57,2793.17,0.0,9748.85,19841.89
025704,26776.45,0.0,2303.91,7440.34,17032.2
040975,26773.46,2945.08,0.0,9973.89,19744.65
035866,26766.7,0.0,0.0,7678.46,19088.24
180262,26766.7,0.0,0.0,9161.46,17605.24
213187,26766.7,0.0,0.0,9109.32,17657.38
213349,26766.7,0.0,0.0,9057.18,17709.52
053368,26765.01,2944.15,0.0,9918.33,19790.83
036331,26695.23,0.0,0.0,7705.24,18989.99
045870,26695.23,0.0,0.0,7653.11,19042.12
075370,26695.23,0.0,0.0,9134.68,17560.55
117021,26695.23,2936.48,0.0,9942.21,19689.5
067547,26693.43,0.0,0.0,13814.98,12878.45
037893,26677.57,3584.53,0.0,9830.78,20431.32
047350,26676.75,3527.24,0.0,9984.22,20219.77
032905,26673.68,3584.1,0.0,14869.87,15387.91
033821,26673.68,2934.1,0.0,9881.33,19726.45
041904,26673.68,0.0,0.0,1908.08,24765.6
042102,26673.68,0.0,0.0,1908.08,24765.6
046647,26673.68,0.0,0.0,8169.06,18504.62
047821,26673.68,0.0,0.0,8231.07,18442.61
052922,26673.68,2934.1,0.0,9933.47,19674.31
060640,26673.68,0.0,0.0,1908.08,24765.6
070734,26673.68,2934.1,0.0,9881.33,19726.45
214094,26673.68,0.0,0.0,8231.07,18442.61
249068,26673.68,0.0,0.0,7697.6,18976.08
039705,26668.06,0.0,0.0,1907.46,24760.6
054895,26650.39,9446.08,0.0,10338.94,25757.53
069124,26649.53,2894.67,0.0,9880.23,19663.97
053821,26634.8,3225.77,0.0,9976.08,19884.49
183211,26627.46,2850.93,0.0,9216.76,20261.63
146838,26617.53,0.0,0.0,9105.56,17511.97
143979,26531.29,4421.88,0.0,8111.41,22841.76
037427,26531.28,0.0,0.0,8177.71,18353.57
039969,26531.28,0.0,0.0,10743.69,15787.59
192431,26531.28,8843.76,0.0,10812.79,24562.25
213918,26531.28,0.0,0.0,9073.24,17458.04
213951,26531.28,0.0,0.0,9073.24,17458.04
223271,26531.28,0.0,0.0,9073.24,17458.04
248738,26531.28,3568.44,0.0,9875.81,20223.91
036226,26515.87,0.0,0.0,2421.04,24094.83
043958,26515.87,0.0,0.0,7589.48,18926.39
045004,26515.87,0.0,0.0,7537.34,18978.53
047775,26491.99,2914.12,0.0,9859.9,19546.21
040509,26470.9,0.0,0.0,7625.67,18845.23
044148,26433.29,0.0,0.0,7612.32,18820.97
100650,26432.55,4405.42,0.0,8218.65,22619.32
113956,26420.74,2906.28,0.0,9778.9,19548.12
222968,26410.42,2716.09,0.0,9551.3,19575.21
062855,26405.36,6281.25,0.0,6908.26,25778.35
021865,26378.12,2939.34,2319.61,8659.47,18338.38
042331,26352.6,0.0,0.0,2399.81,23952.79
046001,26352.6,0.0,0.0,7583.69,18768.91
058378,26352.6,0.0,0.0,8110.74,18241.86
065226,26352.6,2898.79,0.0,9803.45,19447.94
078981,26352.6,2898.79,0.0,9751.31,19500.08
074403,26351.08,7290.47,0.0,9234.65,24406.9
252441,26327.73,0.0,0.0,8515.49,17812.24
039675,26324.27,0.0,0.0,7573.65,18750.62
089125,26306.7,2893.74,0.0,9680.58,19519.86
057142,26298.27,0.0,0.0,1866.78,24431.49
045934,26246.57,0.0,0.0,7493.94,18752.63
045586,26232.87,2885.62,0.0,9754.96,19363.53
091324,26212.57,0.0,0.0,8667.0,17545.57
074365,26206.98,2655.53,0.0,8327.32,20535.19
198528,26190.09,0.0,0.0,8579.09,17611.0
245445,26186.15,0.0,0.0,8839.62,17346.53
053198,26168.94,2878.58,0.0,9624.78,19422.74
116335,26137.22,2573.46,0.0,9359.74,19350.94
152455,26136.88,0.0,0.0,8925.44,17211.44
043559,26126.26,2873.89,0.0,9711.78,19288.37
231657,26100.81,0.0,4469.76,5448.5,16182.55
038334,26099.86,0.0,0.0,8016.04,18083.82
042366,26099.86,0.0,0.0,7441.9,18657.96
047767,26099.86,0.0,0.0,8016.04,18083.82
049271,26099.86,0.0,0.0,1844.96,24254.9
053538,26099.86,0.0,0.0,8016.04,18083.82
056049,26099.86,0.0,0.0,7494.04,18605.82
148059,26099.86,0.0,0.0,8016.04,18083.82
164241,26099.86,0.0,0.0,8859.42,17240.44
165263,26099.86,2870.98,0.0,9701.08,19269.76
201359,26099.86,0.0,0.0,8859.42,17240.44
220884,26099.86,0.0,0.0,8911.56,17188.3
223387,26099.86,0.0,0.0,8859.42,17240.44
228842,26099.86,0.0,0.0,8859.42,17240.44
233463,26099.86,0.0,0.0,8911.56,17188.3
274941,26099.86,0.0,0.0,8859.42,17240.44
047384,26082.61,0.0,0.0,8011.51,18071.1
067342,26061.45,0.0,0.0,8736.68,17324.77
045624,26059.93,2866.59,0.0,9632.77,19293.75
041173,26051.04,2865.61,0.0,9681.31,19235.34
084361,26019.19,2862.11,0.0,9668.41,19212.89
038172,25992.02,0.0,0.0,7455.78,18536.24
